,Forecasted Mean
2019-10-01,185.45548819393534
2019-10-02,187.66815728447574
2019-10-03,185.2928368611009
2019-10-04,164.0207226504411
2019-10-05,116.22666671329759
2019-10-06,128.50195817666778
2019-10-07,191.62747205697912
2019-10-08,191.12996195618484
2019-10-09,190.70239610623096
2019-10-10,189.06989027591067
2019-10-11,167.15019115915092
2019-10-12,113.26667772137517
2019-10-13,129.7023429818534
2019-10-14,189.87217697853924
2019-10-15,191.14348647694723
2019-10-16,190.84824669214345
2019-10-17,187.2340403178262
2019-10-18,165.9578936094749
2019-10-19,114.8570355057984
2019-10-20,129.52708032130766
2019-10-21,192.16841504160502
2019-10-22,192.69943004843546
2019-10-23,192.81930476919146
2019-10-24,188.8619960911079
2019-10-25,167.1236632084141
2019-10-26,114.11702816168174
2019-10-27,130.37785705124446
2019-10-28,192.40738308385812
2019-10-29,193.1686199104088
2019-10-30,193.33348471416778
2019-10-31,188.31439291592773
2019-11-01,166.86654493973353
2019-11-02,115.14288883401588
2019-11-03,130.82401528566749
2019-11-04,193.91993562634286
2019-11-05,194.05745918469145
2019-11-06,194.34109487031105
2019-11-07,189.00461186456928
2019-11-08,167.45096018705652
2019-11-09,115.49489642141815
2019-11-10,131.61430150432295
2019-11-11,194.65086583575152
2019-11-12,194.53578821152996
2019-11-13,194.78636448121517
2019-11-14,189.05398734826056
2019-11-15,167.6095068275739
2019-11-16,116.49024088768013
2019-11-17,132.26077330506425
2019-11-18,195.7095450007913
2019-11-19,195.13822766833064
2019-11-20,195.35513249859477
2019-11-21,189.59649073034507
2019-11-22,168.09368193930987
2019-11-23,117.27101408703356
2019-11-24,133.0121872214659
2019-11-25,196.41702213038528
2019-11-26,195.6088291138222
2019-11-27,195.72056270805723
2019-11-28,189.98662443128546
2019-11-29,168.47300613518823
2019-11-30,118.24789427265722
